Subject №	ART easy	ART diff	ART' easy	ART' diff
1	1376.400000	3155.916667	808.800000	2552.541667 
2	1402.360000	2730.416667	1402.360000	2716.250000 
3	2559.480000	2211.083333	2200.200000	1822.166667 
4	1557.240000	2495.333333	1195.480000	2287.666667 
5	1546.240000	2154.120000	1495.160000	2096.760000 
6	1847.520000	3842.960000	1771.320000	3498.440000 
7	1550.600000	2719.720000	1447.960000	2649.440000 
8	1416.560000	2746.600000	1317.480000	2479.040000 
9	1691.760000	2745.360000	1487.240000	2469.640000 
10	1315.320000	1691.480000	1174.680000	1539.240000 
11	1767.080000	3049.080000	1487.200000	2673.440000 
12	1867.800000	3285.520000	1867.800000	3285.520000 
13	1544.880000	2210.250000	1407.400000	1922.708333 
14	1990.160000	4604.720000	1855.840000	4520.280000 
15	1296.920000	2127.960000	1210.960000	2061.120000 
16	2744.440000	3029.240000	2507.720000	2638.800000 
17	1951.416667	3084.250000	1642.750000	2794.958333 
18	1667.840000	2291.800000	1199.800000	1804.000000 
19	1696.375000	4217.272727	1586.041667	4083.318182 
20	2061.833333	4633.000000	1922.333333	4301.047619 
21	2104.833333	3632.041667	1896.708333	3430.416667 
22	1554.800000	3662.291667	1521.040000	3593.750000 
23	1325.400000	2407.640000	1115.560000	2156.800000 
24	1832.040000	3569.958333	1684.600000	3380.750000 
25	1633.080000	3072.160000	1586.520000	2887.640000 
26	1845.120000	2918.826087	1285.800000	2326.913043 
27	1627.680000	2795.291667	1555.720000	2689.000000 
28	1910.333333	3745.958333	1834.458333	3490.083333 
29	1779.240000	3077.681818	1362.880000	2745.090909 
30	1268.200000	2242.750000	1186.640000	2225.208333 
31	1706.040000	2603.280000	1380.200000	2449.280000 
32	1447.640000	2828.160000	1249.120000	2612.920000 
33	1468.320000	2446.720000	1212.160000	2040.280000 
34	2241.240000	4033.416667	2146.680000	4016.458333 
35	1528.200000	1970.320000	1189.040000	1843.880000 
36	1867.040000	3569.833333	1867.040000	3569.833333 
37	2376.520000	3675.260870	2349.640000	3633.695652 
38	2080.480000	3536.416667	1846.480000	3369.000000 
39	1611.360000	3640.350000	1384.200000	3364.750000 
40	1980.333333	3226.750000	1711.958333	2911.791667 
41	1876.833333	2655.391304	1637.583333	2352.652174 
42	2074.640000	3213.958333	1896.840000	2965.333333 
43	1339.200000	1988.625000	1322.120000	1966.250000 
44	1525.400000	2060.041667	1021.920000	1469.791667 
45	1886.791667	2749.166667	1671.125000	2515.875000 
46	1704.360000	2090.880000	1612.520000	1978.760000 
47	1759.400000	3323.440000	1759.400000	3323.440000 
48	1688.480000	2781.083333	1311.040000	2291.333333 
49	1915.200000	2743.280000	1867.440000	2712.440000 
50	1555.680000	2694.458333	1272.400000	2366.666667 
51	1667.440000	3120.840000	1537.800000	2939.840000 
52	1666.360000	2989.875000	1580.200000	2846.041667 
53	1647.840000	3189.476190	1647.840000	3189.476190 
54	2288.640000	2753.739130	2288.640000	2753.739130 
55	1447.480000	2359.960000	1436.200000	2359.960000 
56	1645.480000	2490.291667	1605.600000	2473.416667 
57	1864.240000	2980.480000	1855.600000	2980.480000 
58	1339.720000	1759.440000	1330.040000	1759.440000 
59	1724.960000	2153.640000	1573.280000	2013.040000 
60	2211.956522	2772.000000	2009.043478	2699.285714 
61	1555.166667	3290.160000	1299.208333	3016.480000 
62	1598.280000	1894.640000	1554.240000	1840.960000 
63	2038.840000	3688.240000	2033.760000	3688.240000 
64	1592.440000	2293.160000	1575.680000	2249.200000 
65	1817.916667	3312.708333	1674.500000	3229.000000 
66	1507.250000	2234.840000	1453.625000	2107.600000 
67	1475.280000	2746.739130	1458.760000	2743.043478 
68	2058.840000	3167.125000	1953.880000	3059.666667 
69	2343.720000	3447.880000	2299.120000	3331.960000 
70	2081.720000	3155.478261	2050.120000	3081.782609 
71	2077.125000	2769.434783	1978.416667	2652.565217 
72	1541.600000	4178.320000	1516.080000	4161.840000 
73	1562.600000	2655.285714	1438.800000	2577.380952 
74	1558.280000	4549.000000	1332.480000	4143.636364 
75	1347.880000	1974.080000	1347.880000	1898.280000 
76	1488.520000	2019.800000	1079.480000	1662.000000 
77	1344.760000	2096.958333	937.520000	1551.791667 
78	1956.360000	3973.040000	1890.840000	3899.240000 
79	2495.400000	2816.360000	2495.400000	2816.360000 
80	1736.240000	3354.320000	1611.840000	3228.680000 
81	1225.666667	2025.565217	524.916667	1169.130435 
82	1564.120000	3908.541667	1326.440000	3582.041667 
83	1236.320000	1709.880000	1228.240000	1699.360000 
84	1415.200000	2524.520000	1058.400000	2070.120000 
85	1460.520000	2926.083333	1262.520000	2668.541667 
86	1783.833333	3790.208333	1563.833333	3546.208333 
