Subject №	ART easy	ART diff	ART' easy	ART' diff
1	1363.160000	1681.120000	1233.520000	1633.600000 
2	1436.480000	1918.160000	1036.880000	1401.280000 
3	1263.440000	1622.240000	841.480000	1119.080000 
4	1196.360000	1703.920000	857.320000	1375.400000 
5	1762.840000	2131.920000	1518.400000	1882.480000 
6	1320.000000	2103.720000	1320.000000	2103.720000 
7	1450.080000	2103.640000	1341.280000	1981.320000 
8	1582.200000	2256.000000	1551.000000	2194.640000 
9	1659.840000	2351.600000	1619.840000	2249.080000 
10	1324.040000	1987.520000	1136.600000	1708.760000 
11	1171.160000	1422.040000	1109.880000	1356.080000 
12	2061.400000	3258.560000	2061.400000	3258.560000 
13	1830.600000	1857.200000	1536.840000	1669.080000 
14	1084.200000	1948.217391	902.480000	1753.739130 
15	2445.600000	3070.600000	2283.720000	2892.400000 
16	1813.760000	2809.160000	1654.640000	2706.880000 
17	1405.120000	2103.400000	1072.760000	1751.280000 
18	1681.800000	1936.800000	1498.120000	1849.320000 
19	1452.640000	1807.360000	1173.560000	1495.040000 
20	1264.600000	1765.320000	1209.720000	1666.840000 
21	1031.120000	1389.400000	914.520000	1249.200000 
22	1011.913043	1614.130435	814.217391	1375.565217 
23	1576.720000	2910.320000	1284.680000	2680.560000 
24	1386.520000	1545.760000	1117.520000	1245.280000 
25	1079.560000	1279.600000	926.400000	1104.040000 
26	1087.280000	1748.520000	1064.520000	1742.520000 
27	1020.880000	1733.440000	1020.880000	1733.440000 
28	1522.240000	2934.416667	1522.240000	2920.000000 
29	1547.680000	2250.000000	1547.680000	2227.458333 
30	1770.916667	3815.869565	1674.250000	3672.956522 
31	1503.240000	2434.750000	1169.680000	2136.416667 
32	1667.000000	2597.571429	1359.120000	2296.238095 
33	1225.760000	1416.200000	1175.920000	1363.160000 
34	1222.760000	1750.800000	1188.840000	1712.160000 
35	1386.416667	2292.333333	932.708333	1878.625000 
36	1271.560000	1697.000000	1232.160000	1637.240000 
37	1663.000000	1915.560000	1643.280000	1915.560000 
38	1204.680000	2540.120000	1103.520000	2466.240000 
39	1480.520000	1838.080000	1480.520000	1838.080000 
40	1400.375000	1956.090909	1330.916667	1956.090909 
41	1115.920000	1115.840000	1115.920000	1115.840000 
42	1515.600000	2978.041667	1267.400000	2935.791667 
43	1508.120000	2196.040000	1324.040000	2073.160000 
44	1059.120000	1513.160000	1059.120000	1513.160000 
45	1392.840000	1501.080000	1392.840000	1501.080000 
46	1810.440000	2343.400000	1535.640000	2263.600000 
47	1528.840000	2139.680000	1528.840000	2139.680000 
48	1662.640000	1990.400000	1605.200000	1990.400000 
49	1339.280000	1836.400000	1274.040000	1791.600000 
50	1545.000000	1881.720000	1539.800000	1871.040000 
51	2169.160000	2817.625000	2169.160000	2793.083333 
52	1858.000000	2081.391304	1184.375000	1324.347826 
53	1549.400000	2533.320000	1530.840000	2480.560000 
54	1891.360000	2457.800000	1891.360000	2457.800000 
55	1635.000000	2648.960000	1391.520000	2597.000000 
56	1752.040000	3105.680000	1699.760000	3086.920000 
57	1636.800000	2809.360000	1636.800000	2809.360000 
58	1564.000000	2134.920000	1564.000000	2134.920000 
59	1502.320000	2398.840000	1475.600000	2386.640000 
60	1911.040000	2200.640000	1911.040000	2200.640000 
61	1697.000000	2233.160000	1697.000000	2233.160000 
62	1388.040000	1861.840000	1369.160000	1804.480000 
63	1353.960000	2472.120000	1338.920000	2457.680000 
64	1192.080000	2098.000000	1138.280000	2027.480000 
65	1146.760000	1889.000000	1142.160000	1884.400000 
66	1249.640000	1769.916667	865.920000	1370.125000 
67	1428.920000	3148.250000	729.840000	2274.916667 
68	1661.583333	1965.000000	1248.625000	1575.520000 
69	1750.240000	2405.600000	1626.720000	2257.000000 
70	1425.400000	2750.333333	1388.320000	2669.583333 
71	1540.960000	1966.280000	1484.360000	1910.600000 
72	1904.760000	2156.440000	1899.880000	2156.440000 
73	1431.920000	2388.000000	1411.840000	2360.560000 
74	1986.920000	2694.520000	1965.680000	2626.880000 
75	2213.120000	2519.760000	2213.120000	2519.760000 
76	1543.440000	2131.720000	1538.480000	2126.640000 
77	1834.520000	3091.600000	1825.200000	3045.640000 
78	1054.000000	1965.600000	813.000000	1754.240000 
79	1215.120000	2126.640000	1115.200000	2086.720000 
80	1537.800000	2064.600000	1517.560000	2061.520000 
81	1607.240000	2538.680000	1599.960000	2538.680000 
82	1355.840000	2383.680000	1071.000000	2057.920000 
83	1464.360000	3345.120000	1250.440000	3156.600000 
84	1173.760000	1640.000000	888.200000	1326.000000 
85	1341.720000	2404.080000	914.720000	1824.280000 
86	2144.640000	2817.840000	1774.800000	2509.800000 
