№	Context	ART	min RT	max RT	stdev RT	ART'	min ART'	max ART'	stdev ART'
1	Отправитель наклеил на письмо	1780.365854	1122.000000	3181.000000	454.237375	1611.878049	209.000000	3181.000000	606.975265
2	Кошки превосходно видят в	1161.623529	295.000000	4247.000000	681.764499	1022.376471	-233.000000	3667.000000	689.251284
3	Перед сном бабушка выключила в комнате	1759.267442	851.000000	3318.000000	512.275028	1548.023256	19.000000	3318.000000	609.029894
4	Артисты поклонились и ушли за	1699.547619	543.000000	9989.000000	1341.782831	1535.154762	-296.000000	9989.000000	1347.312403
5	Туристы спускались на байдарках по	1496.095238	513.000000	4277.000000	612.782054	1239.952381	121.000000	3871.000000	633.624284
6	Проводник положил лимон и сахар в	1024.764706	0.000000	3645.000000	552.976807	840.247059	0.000000	2538.000000	524.958704
7	Гости положили грязные тарелки в	1535.616279	520.000000	6784.000000	1046.914303	1392.360465	54.000000	6784.000000	1041.756468
8	Учитель написал пример мелом на	989.081395	363.000000	2564.000000	418.053366	877.244186	127.000000	2564.000000	457.701160
9	После ужина хозяйка помыла	1719.047059	659.000000	4047.000000	518.253820	1547.505882	427.000000	4047.000000	588.911215
10	В избе старуха топила	1819.094118	673.000000	6314.000000	679.706530	1631.905882	-453.000000	6314.000000	771.284097
11	Моя маленькая сестрёнка увлекается лепкой из	1507.107143	163.000000	5555.000000	868.469087	1326.714286	163.000000	5368.000000	892.333918
12	Войдя в квартиру, жилец плотно закрыл	1619.662791	107.000000	4333.000000	579.932970	1493.860465	107.000000	4333.000000	651.110005
13	На новый год мы всегда украшаем	1887.282353	0.000000	3358.000000	539.797639	1757.882353	0.000000	3358.000000	563.275189
14	Певица высушила волосы с помощью	1860.600000	978.000000	8294.000000	955.541995	1706.435294	493.000000	8294.000000	1019.353360
15	Бегун завязал на ботинках 	2021.360465	1175.000000	8410.000000	931.759031	1808.430233	553.000000	4209.000000	677.032635
16	Помолившись, старушка осторожно задула	1830.847059	741.000000	3360.000000	475.945763	1555.752941	505.000000	3360.000000	606.432207
17	Все гости дружно уселись за	1271.430233	575.000000	4093.000000	645.480898	1107.965116	129.000000	4093.000000	723.675788
18	Бабушка купила таблетки от головной боли в	1306.209877	237.000000	2517.000000	394.428090	1194.382716	237.000000	2517.000000	452.268133
19	Девочка гуляла по лужам и промочила	2251.720930	1213.000000	6028.000000	796.065201	2074.372093	349.000000	6028.000000	862.237828
20	В семь лет дети начинают ходить в	941.458824	90.000000	3331.000000	498.858567	842.952941	90.000000	3174.000000	509.474657
21	Садовница поливает высохшее	2748.268293	369.000000	9347.000000	1489.204428	2558.939024	369.000000	8996.000000	1531.412189
