Subject №	ART easy	ART diff	ART' easy	ART' diff
1	1374.840000	3366.120000	832.440000	2708.840000 
2	1399.560000	2655.640000	1399.560000	2642.040000 
3	2510.120000	2640.600000	2179.000000	2274.880000 
4	1568.120000	2603.840000	1225.880000	2424.760000 
5	1536.640000	2184.360000	1485.560000	2115.880000 
6	1859.360000	3850.280000	1793.400000	3495.240000 
7	1553.360000	2794.760000	1450.720000	2708.680000 
8	1437.240000	2778.760000	1338.160000	2493.320000 
9	1677.360000	2685.360000	1477.360000	2397.040000 
10	1314.600000	1569.125000	1188.120000	1412.625000 
11	1806.160000	2964.280000	1551.520000	2594.800000 
12	1879.800000	3251.480000	1879.800000	3251.480000 
13	1538.200000	2239.083333	1428.400000	1907.083333 
14	2001.600000	4452.120000	1863.520000	4371.720000 
15	1294.880000	2185.120000	1215.040000	2109.880000 
16	2766.040000	3126.280000	2543.040000	2513.480000 
17	1958.458333	2955.291667	1656.791667	2628.750000 
18	1670.041667	2337.600000	1211.333333	1833.320000 
19	1708.875000	4078.952381	1598.541667	3959.380952 
20	2066.000000	4726.250000	1964.086957	4379.300000 
21	2009.083333	3609.480000	1839.041667	3377.120000 
22	1578.680000	3355.458333	1551.120000	3281.916667 
23	1319.040000	2140.416667	1109.200000	1866.958333 
24	1870.440000	3415.840000	1718.800000	3183.920000 
25	1628.600000	3016.920000	1598.360000	2819.800000 
26	1859.600000	2752.708333	1310.120000	2160.041667 
27	1650.000000	2863.541667	1578.040000	2722.666667 
28	1774.708333	3559.708333	1628.708333	3263.291667 
29	1698.240000	3187.636364	1270.240000	2888.363636 
30	1259.960000	2209.625000	1178.400000	2192.083333 
31	1701.320000	2667.040000	1460.040000	2513.480000 
32	1449.440000	2857.791667	1237.680000	2629.000000 
33	1504.680000	2418.560000	1269.640000	2055.800000 
34	2226.080000	3910.250000	2131.520000	3879.625000 
35	1553.200000	2265.440000	1227.760000	2146.880000 
36	1843.720000	3690.583333	1843.720000	3690.583333 
37	2361.720000	3650.416667	2343.920000	3610.583333 
38	2072.280000	2863.458333	1855.840000	2668.541667 
39	1608.240000	4651.571429	1387.320000	4339.714286 
40	2006.250000	3258.840000	1753.833333	2932.480000 
41	1876.000000	2488.240000	1610.541667	2211.360000 
42	2091.560000	3336.958333	1913.760000	3048.166667 
43	1281.240000	1746.875000	1266.640000	1716.250000 
44	1538.360000	2238.680000	1031.320000	1613.320000 
45	1885.291667	2753.640000	1664.916667	2522.160000 
46	1720.520000	2002.880000	1628.680000	1886.920000 
47	1783.640000	2643.760000	1783.640000	2643.760000 
48	1584.833333	2621.083333	1225.583333	2126.458333 
49	1917.040000	2605.041667	1888.120000	2572.916667 
50	1559.708333	2449.041667	1302.125000	2110.333333 
51	1669.440000	3021.400000	1545.720000	2811.520000 
52	1629.916667	2891.080000	1580.750000	2734.280000 
53	1603.640000	2970.476190	1603.640000	2970.476190 
54	2284.800000	2506.260870	2284.800000	2506.260870 
55	1458.360000	2377.040000	1447.080000	2377.040000 
56	1645.160000	2553.083333	1605.280000	2536.208333 
57	1857.760000	2853.791667	1849.120000	2853.791667 
58	1350.160000	1786.480000	1340.480000	1786.480000 
59	1709.280000	2154.040000	1600.680000	1966.680000 
60	2237.652174	2682.727273	2034.739130	2582.227273 
61	1564.458333	3420.840000	1310.333333	3148.680000 
62	1567.680000	1837.840000	1523.640000	1781.120000 
63	2076.000000	3625.680000	2070.920000	3625.680000 
64	1594.600000	2294.920000	1577.840000	2241.480000 
65	1806.500000	3452.208333	1690.375000	3368.500000 
66	1499.440000	2232.400000	1454.760000	2087.720000 
67	1462.160000	2580.208333	1445.640000	2576.666667 
68	2044.083333	2901.130435	1926.208333	2765.782609 
69	2343.960000	3349.400000	2304.720000	3253.600000 
70	2099.080000	3154.304348	2067.480000	3080.608696 
71	2001.608696	2859.521739	1898.608696	2773.782609 
72	1450.200000	4718.720000	1424.680000	4702.240000 
73	1535.200000	2480.863636	1381.840000	2406.500000 
74	1565.160000	4704.869565	1339.360000	4276.434783 
75	1360.400000	1912.520000	1360.400000	1836.720000 
76	1471.600000	1942.040000	1062.560000	1584.240000 
77	1352.760000	2162.166667	950.480000	1617.375000 
78	1980.440000	3847.240000	1914.920000	3769.400000 
79	2456.560000	2805.080000	2456.560000	2797.560000 
80	1739.480000	3343.458333	1611.200000	3213.875000 
81	1202.166667	2298.080000	487.416667	1452.360000 
82	1561.080000	3837.173913	1284.000000	3460.826087 
83	1238.360000	1707.200000	1230.280000	1707.200000 
84	1502.833333	2748.120000	1153.708333	2294.040000 
85	1464.640000	2879.750000	1269.280000	2608.583333 
86	1805.916667	3609.920000	1594.750000	3363.760000 
