№	Context	ART	min RT	max RT	stdev RT	ART'	min ART'	max ART'	stdev ART'
1	Отправитель наклеил на письмо	1780.365854	1122.000000	3181.000000	454.237375	1600.780488	209.000000	3181.000000	590.583056
2	Кошки превосходно видят в	1156.976744	295.000000	4247.000000	679.110837	1023.779070	137.000000	3667.000000	672.331823
3	Перед сном бабушка выключила в комнате	1759.267442	851.000000	3318.000000	512.275028	1527.093023	19.000000	3318.000000	612.170577
4	Артисты поклонились и ушли за	1702.905882	636.000000	9989.000000	1330.606339	1540.447059	71.000000	9989.000000	1333.902764
5	Туристы спускались на байдарках по	1542.047059	513.000000	5402.000000	741.966995	1288.917647	121.000000	5402.000000	774.916758
6	Проводник положил лимон и сахар в	1033.011765	151.000000	3645.000000	542.642356	842.094118	102.000000	2538.000000	522.236254
7	Гости положили грязные тарелки в	1535.616279	520.000000	6784.000000	1046.914303	1392.360465	54.000000	6784.000000	1041.756468
8	Учитель написал пример мелом на	989.081395	363.000000	2564.000000	418.053366	877.244186	127.000000	2564.000000	457.701160
9	После ужина хозяйка помыла	1719.047059	659.000000	4047.000000	518.253820	1547.505882	427.000000	4047.000000	588.911215
10	В избе старуха топила	1825.623529	680.000000	6314.000000	671.178051	1644.376471	594.000000	6314.000000	745.304587
11	Моя маленькая сестрёнка увлекается лепкой из	1519.607143	454.000000	5555.000000	856.362087	1339.214286	226.000000	5368.000000	883.142937
12	Войдя в квартиру, жилец плотно закрыл	1642.476744	692.000000	4333.000000	554.553445	1516.674419	369.000000	4333.000000	627.015178
13	На новый год мы всегда украшаем	1925.282353	207.000000	3358.000000	518.633291	1789.611765	207.000000	3358.000000	538.490485
14	Певица высушила волосы с помощью	1876.546512	978.000000	8294.000000	961.346796	1721.848837	493.000000	8294.000000	1023.371113
15	Бегун завязал на ботинках 	2021.360465	1175.000000	8410.000000	931.759031	1808.430233	553.000000	4209.000000	677.032635
16	Помолившись, старушка осторожно задула	1830.847059	741.000000	3360.000000	475.945763	1542.835294	505.000000	3360.000000	609.362896
17	Все гости дружно уселись за	1271.430233	575.000000	4093.000000	645.480898	1107.965116	129.000000	4093.000000	723.675788
18	Бабушка купила таблетки от головной боли в	1317.170732	237.000000	2517.000000	404.356731	1206.707317	237.000000	2517.000000	463.116242
19	Девочка гуляла по лужам и промочила	2251.720930	1213.000000	6028.000000	796.065201	2074.372093	349.000000	6028.000000	862.237828
20	В семь лет дети начинают ходить в	958.953488	90.000000	3331.000000	521.779216	854.895349	90.000000	3174.000000	518.436247
