№	Context	ART	min RT	max RT	stdev RT	ART'	min ART'	max ART'	stdev ART'
1	Отправитель наклеил на письмо	1658.267442	894.000000	3638.000000	499.425492	1501.232558	143.000000	3472.000000	522.422315
2	Кошки превосходно видят в	936.720930	320.000000	4168.000000	552.696825	867.593023	14.000000	4168.000000	583.133934
3	Перед сном бабушка выключила в комнате	1529.627907	675.000000	3121.000000	503.444770	1318.627907	395.000000	3064.000000	520.137291
4	Артисты поклонились и ушли за	1442.151163	506.000000	5789.000000	870.935056	1296.988372	108.000000	5789.000000	869.283958
5	Туристы спускались на байдарках по	1391.220930	565.000000	4450.000000	617.528916	1250.674419	239.000000	4058.000000	582.332600
6	Проводник положил лимон и сахар в	1181.797619	422.000000	3820.000000	836.754384	1060.309524	13.000000	3820.000000	868.904961
7	Гости положили грязные тарелки в	1377.790698	276.000000	3117.000000	581.078675	1247.569767	137.000000	2665.000000	646.730411
8	Учитель написал пример мелом на	878.588235	365.000000	2029.000000	352.631647	766.623529	0.000000	2029.000000	397.708016
9	После ужина хозяйка помыла	1605.635294	906.000000	3356.000000	505.002472	1462.211765	568.000000	2887.000000	538.966628
10	В избе старуха топила	1605.046512	992.000000	3907.000000	516.221337	1449.197674	84.000000	3907.000000	572.627501
11	Моя маленькая сестрёнка увлекается лепкой из	1141.858824	401.000000	4264.000000	545.117902	989.423529	0.000000	4264.000000	614.078624
12	Войдя в квартиру, жилец плотно закрыл	1464.988372	826.000000	3307.000000	458.417367	1315.720930	347.000000	3307.000000	491.186742
13	На новый год мы всегда украшаем	1650.647059	819.000000	4001.000000	484.633138	1543.141176	614.000000	4001.000000	524.061387
14	Певица высушила волосы с помощью	1554.767442	390.000000	4068.000000	554.876662	1394.430233	390.000000	4068.000000	612.049220
15	Бегун завязал на ботинках 	1794.290698	924.000000	9994.000000	1065.683618	1644.244186	608.000000	9820.000000	1082.375187
16	Помолившись, старушка осторожно задула	1599.600000	918.000000	3443.000000	482.884813	1435.811765	535.000000	3306.000000	589.633451
17	Все гости дружно уселись за	1074.395349	446.000000	2430.000000	357.624064	953.604651	141.000000	2430.000000	401.807776
18	Бабушка купила таблетки от головной боли в	1215.105882	398.000000	2940.000000	430.870769	1148.294118	221.000000	2940.000000	435.900923
19	Девочка гуляла по лужам и промочила	1874.058140	562.000000	4642.000000	624.960109	1760.558140	239.000000	4642.000000	699.605630
20	В семь лет дети начинают ходить в	1127.093023	12.000000	5164.000000	683.946001	1053.232558	12.000000	5164.000000	709.013941
