№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
1	Отправитель наклеил на письмо	марку	86	0	5	марку 80, марки 3, почтовые марки 1, штамп 1, почтовую марку 1	93.023256	0.490112	48.0	2	1658.267442	1501.232558
2	Кошки превосходно видят в	темноте	86	0	3	темноте 82, ночи 3, штанах 1	95.348837	0.309123	68.6	3	936.720930	867.593023
3	Перед сном бабушка выключила в комнате	свет	86	0	8	свет 71, телевизор 4, светильник 3, утюг 2, ночник 2, лампу 2, обогреватель 1, музыку 1	82.558140	1.131068	359.7	1	1529.627907	1318.627907
4	Артисты поклонились и ушли за	кулисы	86	0	9	кулисы 65, сцену 10, занавес 4, пивом 2, актером 1, дверь 1, навес 1, дом 1, рамки 1	75.581395	1.371925	15.0	3	1442.151163	1296.988372
5	Туристы спускались на байдарках по	реке	86	0	11	реке 67, склону 3, речке 3, горной реке 3, порогам 2, течению 2, Волге 2, озеру 1, каналу 1, водопаду 1, сплаву 1	77.906977	1.464722	131.0	2	1391.220930	1250.674419
6	Проводник положил лимон и сахар в	чай	84	2	10	чай 43, стакан 20, чашку 9, кружку 4, кофе 3, шкафу 1, столешницу 1, чашечку 1, стаканчик 1, бокал 1	51.190476	2.094077	106.8	1	1181.797619	1060.309524
7	Гости положили грязные тарелки в	раковину	86	0	8	раковину 60, посудомойку 11, мойку 8, шкаф 2, посудомоечную машину 2, поднос 1, деньги 1, машину 1	69.767442	1.537111	13.9	4	1377.790698	1247.569767
8	Учитель написал пример мелом на	доске	85	1	2	доске 84, окне 1	98.823529	0.092277	67.1	2	878.588235	766.623529
9	После ужина хозяйка помыла	посуду	85	1	14	посуду 61, пол 6, тарелки 4, стол 4, окно 1, руки 1, цветы 1, тарелку 1, ванную 1, раму 1, окна 1, полы 1, шторы 1, ребенка 1	71.764706	1.782511	31.3	3	1605.635294	1462.211765
10	В избе старуха топила	печь	86	0	8	печь 72, печку 6, баню 3, избу 1, лед 1, соседей 1, масло 1, котят 1	83.720930	1.025111	32.6	1	1605.046512	1449.197674
11	Моя маленькая сестрёнка увлекается лепкой из	глины	85	1	7	глины 60, пластилина 20, капусты 1, пельменей 1, полимерной глины 1, песка 1, теста 1	70.588235	1.222897	18.4	2	1141.858824	989.423529
12	Войдя в квартиру, жилец плотно закрыл	дверь	86	0	8	дверь 73, окна 4, шторы 3, окно 2, рот 1, слив 1, двери 1, занавески 1	84.883721	1.000543	450.8	1	1464.988372	1315.720930
13	На новый год мы всегда украшаем	елку	85	1	11	елку 61, дом 9, квартиру 4, комнату 3, ель 2, баню 1, хату 1, дверь 1, двери 1, зал 1, стол 1	71.764706	1.643989	22.3	2	1650.647059	1543.141176
14	Певица высушила волосы с помощью	фена	86	0	4	фена 79, полотенца 5, ветра 1, сушилки 1	91.860465	0.500587	2.0	2	1554.767442	1394.430233
15	Бегун завязал на ботинках 	шнурки	86	0	8	шнурки 77, узел 2, бантик 2, шнурочки 1, банты 1, узлы 1, шнуровку 1, бантики 1	89.534884	0.768793	7.5	2	1794.290698	1644.244186
16	Помолившись, старушка осторожно задула	свечу	85	1	8	свечу 50, свечи 20, свечку 8, свечки 3, лучину 1, свечь 1, кадило 1, лампаду 1	58.823529	1.734258	31.6	2	1599.600000	1435.811765
17	Все гости дружно уселись за	стол	86	0	3	стол 81, столом 4, столы 1	94.186047	0.361987	402.5	1	1074.395349	953.604651
18	Бабушка купила таблетки от головной боли в	аптеке	85	1	5	аптеке 78, магазине 4, 12 вечера 1, спине 1, пятницу 1	91.764706	0.547492	15.1	3	1215.105882	1148.294118
19	Девочка гуляла по лужам и промочила	ноги	86	0	14	ноги 55, ботинки 9, носки 5, сапоги 4, обувь 3, сандали 2, вещи 1, кроссовки 1, сапожки 1, шорты 1, туфли 1, босоножки 1, колготки 1, ножки 1	63.953488	2.090583	459.2	2	1874.058140	1760.558140
20	В семь лет дети начинают ходить в	школу	86	0	8	школу 73, сад 5, детский сад 3, садик 1, туалет 1, тапочках 1, ясли 1, колготках 1	84.883721	0.981826	316.0	2	1127.093023	1053.232558
21	Садовница поливает высохшее	растение	85	1	6	растение 39, дерево 38, растения 3, цветы 3, кусты 1, деревья 1	45.882353	1.526312	94.4	4	1751.682353	1620.388235
22	Летом мальчик катался на двухколёсном	велосипеде	86	0	4	велосипеде 83, самокате 1, ягуаре 1, мопеде 1	96.511628	0.273610	23.1	5	1805.604651	1661.465116
23	Художник точил цветной	карандаш	86	0	4	карандаш 81, нож 3, метал 1, карандашик 1	94.186047	0.399721	46.6	3	1590.023256	1438.034884
24	На стене висела картина в бронзовой	раме	84	2	6	раме 52, рамке 17, оправе 11, окантовке 2, рамкой 1, головой 1	61.904762	1.559419	21.2	2	2196.464286	2080.595238
25	Выпускница надела босоножки на высоких 	каблуках	85	1	5	каблуках 78, шпильках 4, лабутенах 1, ботфортах 1, платформах 1	91.764706	0.547492	16.3	3	1602.682353	1420.188235
26	На экзамене студент допустил досадную	ошибку	85	1	4	ошибку 79, оплошность 4, описку 1, помарку 1	92.941176	0.456465	104.4	3	1591.952941	1475.294118
27	Начальник резко высказал своё	мнение	86	0	10	мнение 52, недовольство 18, негодование 7, недоумение 2, неодобрение 2, презрение 1, возмущение 1, неудовольствие 1, предложение 1, отношение 1	60.465116	1.831695	228.4	3	1443.837209	1276.720930
28	В новом семестре студенты приступили к изучению испанского	языка	86	0	3	языка 84, барокко 1, алфавита 1	97.674419	0.182606	324.9	3	1670.302326	1433.953488
29	Часто дети богатых родителей учатся в частных	школах	86	0	13	школах 68, заведениях 4, колледжах 2, гимназиях 2, пансионах 2, актерских 1, вузах 1, учреждениях 1, институтах 1, домах 1, пансионатах 1, университетах 1, учебных заведениях 1	79.069767	1.450131	316.0	2	1475.523256	1336.093023
30	Девочки хором пели весёлую	песню	86	0	6	песню 70, песенку 9, частушку 3, мелодию 2, песнь 1, колыбельную 1	81.395349	1.027032	160.1	2	1593.569767	1496.348837
31	Именинник налил в стакан апельсиновый	сок	86	0	5	сок 80, ликер 2, фреш 2, грог 1, чай 1	93.023256	0.498890	35.8	1	1607.813953	1498.093023
32	Брат прислушался и услышал из соседней комнаты женский	голос	85	1	11	голос 37, крик 16, смех 10, плач 7, стон 6, вопль 3, визг 2, вздох 1, хохот 1, оргазмический звук 1, шепот 1	43.529412	2.504859	424.5	2	1550.776471	1400.776471
33	Начинающий актёр мечтал сняться хотя бы в каком-нибудь	фильме	85	1	12	фильме 41, сериале 25, кино 5, эпизоде 3, порно 2, спектакле 2, боевике 2, порнофильме 1, клипе 1, ток-шоу 1, рекламном ролике 1, трейлере 1	48.235294	2.196208	196.8	2	1850.247059	1730.552941
34	Марина взяла пульт и выключила надоевший	телевизор	86	0	8	телевизор 66, канал 8, сериал 5, фильм 2, первый канал 2, телесериал 1, радиоприемник 1, видеомагнитофон 1	76.744186	1.326966	72.3	4	1820.790698	1609.965116
35	Сиделка сварила для больного куриный	бульон	86	0	3	бульон 60, суп 25, гуляш 1	69.767442	0.955220	12.2	2	1357.627907	1137.918605
36	Моя двоюродная сестра учится на химическом	факультете	86	0	7	факультете 80, отделении 1, университете 1, колледже 1, профиле 1, на бухгалтера 1, классе 1	93.023256	0.545401	31.7	4	1746.290698	1562.895349
37	Невропатолог прописал мне успокоительные	таблетки	84	2	11	таблетки 51, лекарства 11, капли 5, средства 5, препараты 4, пилюли 2, таблеточки 2, развлечения 1, антидепрессанты 1, медикаменты 1, на дом 1	60.714286	2.076047	21.2	3	2077.178571	1959.845238
38	Жених подарил бриллиантовое кольцо своей	невесте	86	0	11	невесте 67, возлюбленной 7, жене 4, бухгалтерше 1, избраннице 1, маме 1, знакомой 1, девушке 1, любовнице 1, невестке 1, любимой 1	77.906977	1.378829	31.7	3	1545.593023	1418.500000
39	Сергей размешивал чай серебряной	ложкой	86	0	3	ложкой 72, ложечкой 11, вилкой 3	83.720930	0.762971	40.5	2	1538.348837	1441.151163
40	Житель дома решил написать мэру анонимное	письмо	86	0	5	письмо 62, послание 11, обращение 8, сообщение 4, признание 1	72.093023	1.319126	304.3	2	1801.616279	1706.488372
41	По утрам почтальон неспешно разносит	почту	86	0	15	почту 36, письма 18, газеты 14, корреспонденцию 4, газету 3, журналы 2, вести 1, магазин 1, утреннюю корреспонденцию 1, объявления 1, бумаги 1, конверты 1, открытки 1, кабину 1, прессу 1	41.860465	2.597965	27.2	2	1850.220930	1652.732558
42	Крестьянин вчера усердно полол	грядки	86	0	22	грядки 36, грядку 11, огород 8, траву 5, морковь 5, поле 4, капусту 2, сорняки 1, картошку 1, пшеницу 1, клубнику 1, редиску 1, землю 1, морковку 1, дрова 1, сныть 1, газон 1, полынь 1, брюкву 1, овес 1, растения 1, сорняк 1	41.860465	3.154284	8.1	2	2202.686047	2051.627907
43	В начале занятия ученик лениво открыл	тетрадь	86	0	15	тетрадь 31, учебник 22, дверь 9, книгу 9, дневник 3, портфель 2, глаза 2, рот 1, ранец 1, рукопись 1, пенал 1, форточку 1, бутылку 1, журнал 1, тетрадку 1	36.046512	2.734391	23.5	2	1767.406977	1628.337209
44	На лугу пастушка неумело стригла	овец	85	1	14	овец 41, газон 12, траву 11, овцу 7, козу 4, коз 2, пастуха 1, овечку 1, волосы 1, барана 1, кусты 1, барашка 1, ногти 1, барашков 1	48.235294	2.522515	17.5	2	2060.517647	1876.541176
45	Воспитанница с гувернанткой учили наизусть	стихотворение	85	1	13	стихотворение 36, стихи 28, стих 4, Пушкина 4, поэму 3, французский 2, стихотворения 2, танец 1, немецкий 1, язык 1, алфавит 1, поэзию 1, математику 1	42.352941	2.344942	48.7	6	1755.447059	1581.258824
46	Актриса мечтает похудеть и отказывается от	сладкого	85	1	27	сладкого 24, еды 20, мучного 7, пирожных 4, пищи 4, жирного 3, мороженого 2, тортиков 2, жирной пищи 1, булки 1, шоколадок 1, жареного 1, хлеба 1, работы 1, теста 1, мучной пищи 1, мяса 1, булочек 1, всего 1, ужина 1, свинины 1, сахара 1, соленого 1, завтрака 1, жирной 1, сиропа 1, приема пищи 1	28.235294	3.575461	38.4	3	1595.952941	1238.670588
47	За старательную работу директор выплатил сотрудникам	премию	86	0	12	премию 60, премии 9, пенсию 3, компенсацию 3, бонус 2, премиальные 2, деньги 2, зарплату 1, гонорар 1, аванс 1, прибавку 1, ничего 1	69.767442	1.793096	56.2	3	1951.709302	1815.755814
48	Сосед любит зимой кататься на	лыжах	86	0	15	лыжах 29, коньках 24, санках 17, велосипеде 3, сноуборде 2, роликах 2, снегоходе 1, санях 1, качелях 1, жене 1, машине 1, квадроцикле 1, скутере 1, ледянке 1, карусели 1	33.720930	2.598796	18.3	2	1167.430233	1038.895349
49	Отдыхающие загорали и купались в	море	85	1	16	море 41, озере 15, реке 6, речке 5, пруду 4, океане 3, бассейне 2, луже 1, Турции 1, парке 1, Азовском море 1, санатории 1, Крыму 1, плавках 1, Черном море 1, ванной 1	48.235294	2.643070	159.5	2	1518.917647	1281.976471
50	Бабушка испекла вкусные пирожки с 	капустой	86	0	28	капустой 16, вишней 11, мясом 8, яблоком 8, повидлом 7, картошкой 6, изюмом 4, малиной 3, творогом 2, вареньем 2, яблоками 2, корицей 1, джемом 1, яйцом и луком 1, рисом 1, курицей 1, тыквой 1, ягодами 1, монетками 1, медом 1, яйцом 1, черникой 1, голубикой 1, ватрушкой 1, малиновым вареньем 1, земляникой 1, маслом 1, грибами 1	18.604651	4.054522	21.7	3	1262.116279	1153.302326
51	Играя в футбол, мальчик упал и сломал	ногу	86	0	14	ногу 48, руку 19, нос 5, ключицу 2, колено 2, палец 2, игрушку 1, запястье 1, челюсть 1, лодыжку 1, руки 1, позвоночник 1, ребро 1, шею 1	55.813953	2.165818	459.2	2	1906.081395	1834.523256
52	Спортсмен получил травму и не принял участие в	соревнованиях	86	0	15	соревнованиях 55, олимпиаде 9, соревновании 6, матче 3, забеге 2, состязании 2, чемпионате 1, банкете 1, марафоне 1, шпионаже 1, афтепати 1, играх 1, Олимпийских играх 1, гонке 1, отпуске 1	63.953488	2.115000	32.7	6	904.546512	737.058140
