Subject №	ART easy	ART diff	ART' easy	ART' diff
1	1362.520000	1677.280000	1232.880000	1587.400000 
2	1441.043478	1981.520000	1065.565217	1462.800000 
3	1263.208333	1643.800000	823.500000	1122.720000 
4	1204.280000	1691.000000	882.600000	1351.680000 
5	1753.160000	2194.400000	1520.440000	1928.040000 
6	1313.440000	2110.440000	1313.440000	2110.440000 
7	1448.760000	2142.240000	1339.960000	2007.280000 
8	1566.000000	2202.920000	1542.440000	2141.560000 
9	1763.400000	2366.000000	1730.800000	2263.480000 
10	1329.120000	1996.520000	1141.680000	1687.920000 
11	1187.240000	1397.833333	1138.040000	1326.625000 
12	2043.800000	3346.640000	2043.800000	3346.640000 
13	1836.680000	1856.400000	1542.920000	1639.320000 
14	1085.760000	1712.727273	911.360000	1522.000000 
15	2448.720000	3003.520000	2294.640000	2832.680000 
16	1800.640000	2490.560000	1640.520000	2378.080000 
17	1415.120000	2131.880000	1093.400000	1794.640000 
18	1699.560000	2079.800000	1526.080000	1976.360000 
19	1460.440000	1910.880000	1176.440000	1581.360000 
20	1292.160000	1787.160000	1245.160000	1690.000000 
21	1029.640000	1486.840000	901.400000	1340.440000 
22	1006.521739	1471.000000	810.956522	1205.652174 
23	1519.360000	2934.750000	1234.000000	2703.291667 
24	1391.800000	1517.880000	1145.520000	1227.920000 
25	1069.920000	1313.000000	938.360000	1107.960000 
26	1082.040000	1723.800000	1059.280000	1723.800000 
27	1026.720000	1642.800000	1026.720000	1634.320000 
28	1520.600000	2494.434783	1520.600000	2489.956522 
29	1536.360000	2118.958333	1536.360000	2096.416667 
30	1764.666667	3608.043478	1674.250000	3420.695652 
31	1510.880000	2070.782609	1193.840000	1787.695652 
32	1680.560000	2538.809524	1395.600000	2252.666667 
33	1217.480000	1394.360000	1175.520000	1341.320000 
34	1233.040000	1737.800000	1199.120000	1699.160000 
35	1391.000000	2194.521739	955.750000	1743.869565 
36	1283.160000	1756.200000	1243.760000	1692.760000 
37	1667.760000	1916.680000	1648.040000	1906.560000 
38	1205.880000	2459.920000	1091.000000	2386.040000 
39	1493.560000	1745.880000	1493.560000	1745.880000 
40	1408.416667	1889.727273	1338.958333	1889.727273 
41	1113.680000	1080.680000	1113.680000	1080.680000 
42	1503.720000	3003.416667	1255.520000	2944.958333 
43	1521.200000	2078.583333	1315.160000	1950.583333 
44	1068.720000	1495.880000	1068.720000	1495.880000 
45	1391.560000	1454.360000	1391.560000	1454.360000 
46	1787.400000	2442.400000	1528.720000	2378.480000 
47	1537.480000	1972.760000	1537.480000	1972.760000 
48	1700.240000	2173.840000	1642.800000	2173.840000 
49	1332.680000	1767.500000	1267.440000	1733.625000 
50	1549.040000	1854.920000	1543.840000	1844.240000 
51	2190.250000	2543.130435	2190.250000	2517.521739 
52	1871.958333	2076.583333	1173.375000	1330.333333 
53	1578.640000	2354.200000	1512.680000	2301.440000 
54	1916.880000	2441.480000	1916.880000	2423.960000 
55	1591.920000	2798.560000	1348.440000	2715.240000 
56	1746.600000	3031.720000	1725.680000	2978.800000 
57	1653.920000	2738.200000	1653.920000	2738.200000 
58	1584.400000	2040.800000	1584.400000	2040.800000 
59	1514.880000	2335.640000	1488.160000	2323.440000 
60	1901.560000	2030.640000	1901.560000	2030.640000 
61	1636.640000	2229.680000	1636.640000	2229.680000 
62	1405.720000	1963.440000	1386.840000	1902.880000 
63	1344.040000	2347.916667	1330.280000	2332.875000 
64	1189.600000	1988.160000	1146.880000	1886.080000 
65	1145.440000	1914.560000	1145.440000	1909.960000 
66	1241.760000	1833.840000	858.840000	1380.240000 
67	1427.440000	3112.500000	733.040000	2249.125000 
68	1879.480000	1962.080000	1476.440000	1556.120000 
69	1747.400000	2359.880000	1623.880000	2189.000000 
70	1424.080000	2974.250000	1387.000000	2870.958333 
71	1533.040000	1930.080000	1484.520000	1862.720000 
72	1909.520000	2153.400000	1904.640000	2153.400000 
73	1465.240000	2303.680000	1445.160000	2271.680000 
74	1969.760000	2751.520000	1948.520000	2646.080000 
75	2233.640000	2674.680000	2233.640000	2666.680000 
76	1550.360000	2071.680000	1545.400000	2066.600000 
77	1858.760000	2826.600000	1849.440000	2763.520000 
78	1081.720000	1938.760000	832.920000	1719.280000 
79	1213.320000	2108.880000	1123.200000	2041.760000 
80	1516.280000	2053.920000	1501.080000	2041.800000 
81	1583.120000	2414.920000	1575.840000	2408.800000 
82	1397.160000	2244.200000	1123.400000	1864.280000 
83	1497.880000	3367.680000	1283.960000	3183.040000 
84	1173.160000	1905.240000	910.920000	1559.560000 
85	1331.720000	2422.960000	928.840000	1848.960000 
86	2132.600000	2863.040000	1782.200000	2534.520000 
